"speciesScientificName","type","projectID","ForStrat.Value","diet.breadth","BodyMass.Value","Activity.Nocturnal","Activity.Diurnal","X15.1_LitterSize","X10.1_PopulationGrpSize","X10.2_SocialGrpSize"
"Marmota monax","C","EMML_CBWC","G",3,3801.72,0,1,4.1,-999,1
"Mephitis mephitis","C","EMML_CBWC","G",5,2085.02,1,0,5.7,-999,-999
"Castor canadensis","C","EMML_CBWC","G",1,21820,1,0,3.6,-999,5.1
"Lontra canadensis","C","EMML_CBWC","G",2,8087.42,1,0,2.67,-999,-999
"Ondatra zibethicus","C","EMML_CBWC","G",2,1065.75,1,0,6.55,-999,-999
"Neovison vison","C","EMML_CBWC","G",4,1150,1,0,-999,-999,-999
"Spilogale gracilis","A","EMML_CHIR","G",3,466.5,1,0,-999,-999,-999
"Odocoileus virginianus","B","EMML_CHIR","G",2,55508.56,1,0,1.57,-999,2.25
"Mephitis mephitis","B","EMML_CHIR","G",5,2085.02,1,0,5.7,-999,-999
"Lynx rufus","B","EMML_CHIR","G",1,8904.1,1,0,2.76,-999,-999
"Urocyon cinereoargenteus","B","EMML_CHIR","G",5,3833.72,1,0,3.71,-999,-999
"Bassariscus astutus","B","EMML_CHIR","G",3,1129.51,1,0,3,-999,-999
"Pecari tajacu","B","EMML_CHIR","G",4,21266.69,1,0,1.56,11.65,20
"Nasua narica","B","EMML_CHIR","S",3,4030.05,0,1,4,-999,-999
"Puma concolor","B","EMML_CHIR","G",1,51600.04,1,1,2.76,-999,1
"Ursus americanus","B","EMML_CHIR","G",4,99949.36,1,0,2.39,-999,-999
"Conepatus leuconotus","B","EMML_CHIR","G",3,3500.02,1,0,3.6,-999,-999
"Mephitis macroura","B","EMML_CHIR","G",5,801.25,1,1,4.68,-999,-999
"Canis latrans","B","EMML_CHIR","G",3,13406.33,1,0,5.72,-999,-999
"Sylvilagus floridanus","B","EMML_CHIR","G",1,1172.79,1,0,4.62,-999,-999
"Odocoileus hemionus","C","EMML_CHIR","G",2,54212.57,1,0,1.61,-999,-999
"Taxidea taxus","C","EMML_CHIR","G",3,7107.55,1,0,2.76,-999,-999
"Lepus californicus","C","EMML_CHIR","G",1,2422.48,1,0,2.68,-999,-999
"Vulpes macrotis","C","EMML_CHIR","G",3,4499.97,1,0,4.5,-999,-999
"Ovis canadensis","C","EMML_CHIR","G",1,74644.88,1,1,1.16,5.5,5.5
"Sylvilagus audubonii","C","EMML_CHIR","G",1,889.63,1,0,3,-999,-999
"Procyon lotor","C","EMML_CHIR","G",4,5524.97,1,0,3.06,-999,-999
"Antilocapra americana","C","EMML_CHIR","G",1,46082.92,1,1,1.93,1000,12
"Cynomys ludovicianus","C","EMML_CHIR","G",1,1364,0,1,4.43,5,6.13
"Erethizon dorsatum","C","EMML_CHIR","S",3,7085.33,1,0,1,-999,1
"Lontra canadensis","C","EMML_CHIR","G",2,8087.42,1,0,2.67,-999,-999
"Herpestes urva","A","EMML_DYTP","G",5,1863.2,1,1,3,-999,-999
"Menetes berdmorei","A","EMML_DYTP","S",4,190,0,1,-999,-999,-999
"Muntiacus muntjak","A","EMML_DYTP","G",2,15925.79,1,1,1,-999,-999
"Callosciurus finlaysonii","A","EMML_DYTP","Ar",5,278,0,1,-999,-999,-999
"Canis aureus","A","EMML_DYTP","G",6,10345.23,1,0,3.74,-999,-999
"Tupaia belangeri","A","EMML_DYTP","G",2,200,0,1,-999,-999,-999
"Elephas maximus","B","EMML_DYTP","G",1,2915040,1,1,1.41,-999,7.75
"Atherurus macrourus","B","EMML_DYTP","G",2,2000,1,0,1.5,-999,-999
"Bos javanicus","B","EMML_DYTP","G",1,625000,1,1,1.22,21,40
"Paradoxurus hermaphroditus","B","EMML_DYTP","Ar",4,3156.66,1,0,3.29,-999,-999
"Ursus thibetanus","B","EMML_DYTP","G",5,77500,0,1,1.5,-999,-999
"Viverra zibetha","B","EMML_DYTP","G",6,9500,1,1,2.89,-999,-999
"Prionailurus bengalensis","B","EMML_DYTP","S",3,3300,1,1,2.5,-999,-999
"Tragulus kanchil","B","EMML_DYTP","G",2,3706.24,1,0,-999,-999,-999
"Hystrix brachyura","B","EMML_DYTP","G",2,8450,1,0,1.41,1,1
"Macaca leonina","B","EMML_DYTP","S",3,5786.96,0,1,-999,-999,-999
"Rusa unicolor","B","EMML_DYTP","G",2,177522.9,1,0,1,-999,-999
"Capricornis sumatraensis","B","EMML_DYTP","G",1,110942.22,0,1,1.22,-999,-999
"Helarctos malayanus","B","EMML_DYTP","G",4,46500,1,0,1.1,-999,-999
"Sus scrofa","B","EMML_DYTP","G",5,96118.09,1,0,4.52,-999,13
"Neofelis nebulosa","B","EMML_DYTP","S",1,19675.75,0,1,2.25,1,1
"Cuon alpinus","B","EMML_DYTP","G",2,14173.33,0,1,4.3,-999,-999
"Melogale personata","B","EMML_DYTP","G",3,1702.5,1,0,2.5,-999,-999
"Pardofelis marmorata","B","EMML_DYTP","S",1,2854.25,1,0,2,-999,-999
"Herpestes javanicus","B","EMML_DYTP","G",5,750,1,1,2.21,-999,-999
"Viverricula indica","B","EMML_DYTP","G",5,2908.43,1,1,3.74,1.5,1.5
"Prionodon pardicolor","B","EMML_DYTP","S",3,512,1,0,2,-999,-999
"Manis javanica","B","EMML_DYTP","Ar",1,5150,1,0,1,-999,-999
"Martes flavigula","B","EMML_DYTP","Ar",5,1842.5,0,1,3.53,-999,-999
"Arctictis binturong","C","EMML_DYTP","Ar",5,9875,1,0,2.5,-999,-999
"Arctonyx collaris","C","EMML_DYTP","G",5,6356,1,0,3,-999,-999
"Rhizomys pruinosus","C","EMML_DYTP","G",3,2450,1,0,3,-999,-999
"Arctogalidia trivirgata","C","EMML_DYTP","Ar",4,2250,1,0,2.79,-999,-999
"Paguma larvata","C","EMML_DYTP","G",3,4300,1,0,2.16,-999,-999
"Lepus peguensis","C","EMML_DYTP","G",1,2267.5,1,0,-999,-999,-999
"Nycticebus bengalensis","C","EMML_DYTP","Ar",4,1137.36,1,0,-999,-999,-999
"Panthera tigris","C","EMML_DYTP","G",1,162564,1,1,2.6,1,1
"Hylobates pileatus","C","EMML_DYTP","Ar",3,5440,0,1,1,4,3.25
"Petaurista philippensis","C","EMML_DYTP","Ar",4,1676,1,0,-999,-999,-999
"Ratufa bicolor","C","EMML_DYTP","Ar",5,2050,0,1,1.5,-999,-999
"Bandicota indica","C","EMML_DYTP","G",2,719.96,1,0,6.12,-999,-999
"Catopuma temminckii","C","EMML_DYTP","G",2,11500,1,0,1.5,-999,-999
"Cannomys badius","C","EMML_DYTP","G",1,650,1,0,2,-999,-999
"Felis chaus","C","EMML_DYTP","G",2,7392.98,1,1,2.94,-999,-999
"Rhizomys sumatrensis","C","EMML_DYTP","G",3,1625,1,0,4,-999,-999
"Viverra megaspila","C","EMML_DYTP","G",6,9250,1,1,-999,-999,-999
"Macaca fascicularis","C","EMML_DYTP","S",3,3991.5,0,1,1,23.6,27
"Lutrogale perspicillata","C","EMML_DYTP","G",4,9483.33,0,1,3.24,-999,-999
"Elephas maximus","B","EMML_DYTP","G",1,2915040,1,1,1.41,-999,7.75
"Atherurus macrourus","B","EMML_DYTP","G",2,2000,1,0,1.5,-999,-999
"Bos javanicus","B","EMML_DYTP","G",1,625000,1,1,1.22,21,40
"Paradoxurus hermaphroditus","B","EMML_DYTP","Ar",4,3156.66,1,0,3.29,-999,-999
"Ursus thibetanus","B","EMML_DYTP","G",5,77500,0,1,1.5,-999,-999
"Viverra zibetha","B","EMML_DYTP","G",6,9500,1,1,2.89,-999,-999
"Prionailurus bengalensis","B","EMML_DYTP","S",3,3300,1,1,2.5,-999,-999
"Tragulus kanchil","B","EMML_DYTP","G",2,3706.24,1,0,-999,-999,-999
"Hystrix brachyura","B","EMML_DYTP","G",2,8450,1,0,1.41,1,1
"Macaca leonina","B","EMML_DYTP","S",3,5786.96,0,1,-999,-999,-999
"Rusa unicolor","B","EMML_DYTP","G",2,177522.9,1,0,1,-999,-999
"Capricornis sumatraensis","B","EMML_DYTP","G",1,110942.22,0,1,1.22,-999,-999
"Helarctos malayanus","B","EMML_DYTP","G",4,46500,1,0,1.1,-999,-999
"Sus scrofa","B","EMML_DYTP","G",5,96118.09,1,0,4.52,-999,13
"Neofelis nebulosa","B","EMML_DYTP","S",1,19675.75,0,1,2.25,1,1
"Cuon alpinus","B","EMML_DYTP","G",2,14173.33,0,1,4.3,-999,-999
"Melogale personata","B","EMML_DYTP","G",3,1702.5,1,0,2.5,-999,-999
"Pardofelis marmorata","B","EMML_DYTP","S",1,2854.25,1,0,2,-999,-999
"Herpestes javanicus","B","EMML_DYTP","G",5,750,1,1,2.21,-999,-999
"Viverricula indica","B","EMML_DYTP","G",5,2908.43,1,1,3.74,1.5,1.5
"Prionodon pardicolor","B","EMML_DYTP","S",3,512,1,0,2,-999,-999
"Manis javanica","B","EMML_DYTP","Ar",1,5150,1,0,1,-999,-999
"Martes flavigula","B","EMML_DYTP","Ar",5,1842.5,0,1,3.53,-999,-999
"Ursus americanus","C","EMML_EWP","G",4,99949.36,1,0,2.39,-999,-999
"Sciurus niger","C","EMML_EWP","Ar",3,761.9,0,1,-999,-999,-999
"Lepus americanus","C","EMML_EWP","G",1,1710.02,1,0,3.54,-999,-999
"Lynx rufus","C","EMML_EWP","G",1,8904.1,1,0,2.76,-999,-999
"Marmota monax","C","EMML_EWP","G",3,3801.72,0,1,4.1,-999,1
"Canis latrans","C","EMML_EWP","G",3,13406.33,1,0,5.72,-999,-999
"Mephitis mephitis","C","EMML_EWP","G",5,2085.02,1,0,5.7,-999,-999
"Castor canadensis","C","EMML_EWP","G",1,21820,1,0,3.6,-999,5.1
"Lontra canadensis","C","EMML_EWP","G",2,8087.42,1,0,2.67,-999,-999
"Ondatra zibethicus","C","EMML_EWP","G",2,1065.75,1,0,6.55,-999,-999
"Neovison vison","C","EMML_EWP","G",4,1150,1,0,-999,-999,-999
"Tamias striatus","A","EMML_FLWP","G",4,111.91,0,1,-999,-999,-999
"Glaucomys volans","A","EMML_FLWP","Ar",3,63.87,1,0,3.13,-999,-999
"Tamiasciurus hudsonicus","A","EMML_FLWP","Ar",6,201.17,0,1,3.93,-999,-999
"Sciurus carolinensis","B","EMML_FLWP","Ar",3,506.5,0,1,2.98,-999,1
"Procyon lotor","B","EMML_FLWP","G",4,5524.97,1,0,3.06,-999,-999
"Sylvilagus floridanus","B","EMML_FLWP","G",1,1172.79,1,0,4.62,-999,-999
"Odocoileus virginianus","B","EMML_FLWP","G",2,55508.56,1,0,1.57,-999,2.25
"Didelphis virginiana","B","EMML_FLWP","S",4,2195.48,1,0,8.62,-999,1
"Vulpes vulpes","B","EMML_FLWP","G",3,5476.17,1,0,4.59,-999,-999
"Urocyon cinereoargenteus","B","EMML_FLWP","G",5,3833.72,1,0,3.71,-999,-999
"Mephitis mephitis","B","EMML_FLWP","G",5,2085.02,1,0,5.7,-999,-999
"Ursus americanus","B","EMML_FLWP","G",4,99949.36,1,0,2.39,-999,-999
"Taxidea taxus","C","EMML_FLWP","G",3,7107.55,1,0,2.76,-999,-999
"Lepus europaeus","C","EMML_FLWP","G",1,3740,1,0,2.14,-999,-999
"Martes pennanti","C","EMML_FLWP","S",2,4000,1,1,3.02,-999,-999
"Sciurus niger","C","EMML_FLWP","Ar",3,761.9,0,1,-999,-999,-999
"Lepus americanus","C","EMML_FLWP","G",1,1710.02,1,0,3.54,-999,-999
"Lynx rufus","C","EMML_FLWP","G",1,8904.1,1,0,2.76,-999,-999
"Marmota monax","C","EMML_FLWP","G",3,3801.72,0,1,4.1,-999,1
"Canis latrans","C","EMML_FLWP","G",3,13406.33,1,0,5.72,-999,-999
"Erethizon dorsatum","C","EMML_FLWP","S",3,7085.33,1,0,1,-999,1
"Castor canadensis","C","EMML_FLWP","G",1,21820,1,0,3.6,-999,5.1
"Lontra canadensis","C","EMML_FLWP","G",2,8087.42,1,0,2.67,-999,-999
"Ondatra zibethicus","C","EMML_FLWP","G",2,1065.75,1,0,6.55,-999,-999
"Neovison vison","C","EMML_FLWP","G",4,1150,1,0,-999,-999,-999
"Herpestes urva","A","EMML_HKK","G",5,1863.2,1,1,3,-999,-999
"Menetes berdmorei","A","EMML_HKK","S",4,190,0,1,-999,-999,-999
"Tapirus indicus","A","EMML_HKK","G",1,296250,1,0,1,1,1.5
"Tupaia belangeri","A","EMML_HKK","G",2,200,0,1,-999,-999,-999
"Muntiacus muntjak","A","EMML_HKK","G",2,15925.79,1,1,1,-999,-999
"Elephas maximus","B","EMML_HKK","G",1,2915040,1,1,1.41,-999,7.75
"Atherurus macrourus","B","EMML_HKK","G",2,2000,1,0,1.5,-999,-999
"Catopuma temminckii","B","EMML_HKK","G",2,11500,1,0,1.5,-999,-999
"Bos javanicus","B","EMML_HKK","G",1,625000,1,1,1.22,21,40
"Paradoxurus hermaphroditus","B","EMML_HKK","Ar",4,3156.66,1,0,3.29,-999,-999
"Macaca fascicularis","B","EMML_HKK","S",3,3991.5,0,1,1,23.6,27
"Cuon alpinus","B","EMML_HKK","G",2,14173.33,0,1,4.3,-999,-999
"Canis aureus","B","EMML_HKK","G",6,10345.23,1,0,3.74,-999,-999
"Ursus thibetanus","B","EMML_HKK","G",5,77500,0,1,1.5,-999,-999
"Arctonyx collaris","B","EMML_HKK","G",5,6356,1,0,3,-999,-999
"Viverra zibetha","B","EMML_HKK","G",6,9500,1,1,2.89,-999,-999
"Viverra megaspila","B","EMML_HKK","G",6,9250,1,1,-999,-999,-999
"Melogale personata","B","EMML_HKK","G",3,1702.5,1,0,2.5,-999,-999
"Panthera pardus","B","EMML_HKK","G",1,52038.22,1,0,2.14,1,1
"Prionailurus bengalensis","B","EMML_HKK","S",3,3300,1,1,2.5,-999,-999
"Hystrix brachyura","B","EMML_HKK","G",2,8450,1,0,1.41,1,1
"Paguma larvata","B","EMML_HKK","G",3,4300,1,0,2.16,-999,-999
"Macaca leonina","B","EMML_HKK","S",3,5786.96,0,1,-999,-999,-999
"Rusa unicolor","B","EMML_HKK","G",2,177522.9,1,0,1,-999,-999
"Viverricula indica","B","EMML_HKK","G",5,2908.43,1,1,3.74,1.5,1.5
"Helarctos malayanus","B","EMML_HKK","G",4,46500,1,0,1.1,-999,-999
"Manis javanica","B","EMML_HKK","Ar",1,5150,1,0,1,-999,-999
"Panthera tigris","B","EMML_HKK","G",1,162564,1,1,2.6,1,1
"Sus scrofa","B","EMML_HKK","G",5,96118.09,1,0,4.52,-999,13
"Martes flavigula","B","EMML_HKK","Ar",5,1842.5,0,1,3.53,-999,-999
"Macaca arctoides","C","EMML_HKK","S",4,5000,0,1,1.01,-999,-999
"Muntiacus feae","C","EMML_HKK","G",2,22000,1,1,1.22,-999,-999
"Arctictis binturong","C","EMML_HKK","Ar",5,9875,1,0,2.5,-999,-999
"Rhizomys pruinosus","C","EMML_HKK","G",3,2450,1,0,3,-999,-999
"Arctogalidia trivirgata","C","EMML_HKK","Ar",4,2250,1,0,2.79,-999,-999
"Macaca assamensis","C","EMML_HKK","S",4,12000,0,1,-999,-999,21
"Prionodon linsang","C","EMML_HKK","S",3,700,1,0,2.3,-999,-999
"Trachypithecus phayrei","C","EMML_HKK","Ar",2,8400,0,1,1,-999,12.9
"Petaurista elegans","C","EMML_HKK","Ar",4,997,1,0,1,-999,-999
"Lepus peguensis","C","EMML_HKK","G",1,2267.5,1,0,-999,-999,-999
"Nycticebus bengalensis","C","EMML_HKK","Ar",4,1137.36,1,0,-999,-999,-999
"Hylobates lar","C","EMML_HKK","Ar",3,4892,0,1,1.01,-999,3.2
"Petaurista philippensis","C","EMML_HKK","Ar",4,1676,1,0,-999,-999,-999
"Ratufa bicolor","C","EMML_HKK","Ar",5,2050,0,1,1.5,-999,-999
"Mustela strigidorsa","C","EMML_HKK","G",1,1500,1,1,-999,-999,-999
"Petaurista petaurista","C","EMML_HKK","Ar",4,1660.13,1,0,1,-999,-999
"Capricornis sumatraensis","C","EMML_HKK","G",1,110942.22,0,1,1.22,-999,-999
"Trachypithecus germaini","C","EMML_HKK","Ar",2,8516.46,0,1,-999,-999,-999
"Herpestes javanicus","C","EMML_HKK","G",5,750,1,1,2.21,-999,-999
"Bandicota indica","C","EMML_HKK","G",2,719.96,1,0,6.12,-999,-999
"Cannomys badius","C","EMML_HKK","G",1,650,1,0,2,-999,-999
"Felis chaus","C","EMML_HKK","G",2,7392.98,1,1,2.94,-999,-999
"Rhizomys sumatrensis","C","EMML_HKK","G",3,1625,1,0,4,-999,-999
"Tragulus kanchil","C","EMML_HKK","G",2,3706.24,1,0,-999,-999,-999
"Neofelis nebulosa","C","EMML_HKK","S",1,19675.75,0,1,2.25,1,1
"Trachypithecus barbei","C","EMML_HKK","Ar",2,8516.46,0,1,-999,-999,-999
"Pardofelis marmorata","C","EMML_HKK","S",1,2854.25,1,0,2,-999,-999
"Lutra lutra","C","EMML_HKK","G",4,8785.14,1,1,2.01,-999,-999
"Lutrogale perspicillata","C","EMML_HKK","G",4,9483.33,0,1,3.24,-999,-999
"Tamiasciurus hudsonicus","A","EMML_ICTS","Ar",6,201.17,0,1,3.93,-999,-999
"Odocoileus virginianus","B","EMML_ICTS","G",2,55508.56,1,0,1.57,-999,2.25
"Procyon lotor","B","EMML_ICTS","G",4,5524.97,1,0,3.06,-999,-999
"Urocyon cinereoargenteus","B","EMML_ICTS","G",5,3833.72,1,0,3.71,-999,-999
"Sciurus carolinensis","B","EMML_ICTS","Ar",3,506.5,0,1,2.98,-999,1
"Didelphis virginiana","B","EMML_ICTS","S",4,2195.48,1,0,8.62,-999,1
"Vulpes vulpes","B","EMML_ICTS","G",3,5476.17,1,0,4.59,-999,-999
"Canis latrans","B","EMML_ICTS","G",3,13406.33,1,0,5.72,-999,-999
