"speciesScientificName","type","projectID","ForStrat.Value","diet.breadth","BodyMass.Value","Activity.Nocturnal","Activity.Diurnal","X15.1_LitterSize","X10.1_PopulationGrpSize","X10.2_SocialGrpSize","IUCN_frq","IUCN_year","realm","elevation","NPP","ave_temp","Tree_mean","sampling_effort_t"
"Lynx rufus","B","EMML_ATP","G",1,8904.1,1,0,2.76,-999,-999,"4","2016","Nearctic",175.53,2687.96,11.09,21.18,16132
"Mephitis mephitis","B","EMML_ATP","G",5,2085.02,1,0,5.7,-999,-999,"3","2016","Nearctic",175.53,2687.96,11.09,21.18,16132
"Sciurus niger","B","EMML_ATP","Ar",3,761.9,0,1,-999,-999,-999,"4","2016","Nearctic",175.53,2687.96,11.09,21.18,16132
"Sylvilagus floridanus","B","EMML_ATP","G",1,1172.79,1,0,4.62,-999,-999,"3","2019","Nearctic",175.53,2687.96,11.09,21.18,16132
"Marmota monax","B","EMML_ATP","G",3,3801.72,0,1,4.1,-999,1,"3","2016","Nearctic",175.53,2687.96,11.09,21.18,16132
"Vulpes vulpes","B","EMML_ATP","G",3,5476.17,1,0,4.59,-999,-999,"5","2021","Nearctic",175.53,2687.96,11.09,21.18,16132
"Urocyon cinereoargenteus","B","EMML_ATP","G",5,3833.72,1,0,3.71,-999,-999,"4","2016","Nearctic",175.53,2687.96,11.09,21.18,16132
"Martes pennanti","B","EMML_ATP","S",2,4000,1,1,3.02,-999,-999,"4","2018","Nearctic",175.53,2687.96,11.09,21.18,16132
"Taxidea taxus","C","EMML_ATP","G",3,7107.55,1,0,2.76,-999,-999,"3","2016","Nearctic",175.53,2687.96,11.09,21.18,16132
"Lepus europaeus","C","EMML_ATP","G",1,3740,1,0,2.14,-999,-999,"3","2019","Nearctic",175.53,2687.96,11.09,21.18,16132
"Lepus americanus","C","EMML_ATP","G",1,1710.02,1,0,3.54,-999,-999,"3","2019","Nearctic",175.53,2687.96,11.09,21.18,16132
"Sylvilagus obscurus","C","EMML_ATP","G",1,1218.45,1,0,-999,-999,-999,"3","2019","Nearctic",175.53,2687.96,11.09,21.18,16132
"Castor canadensis","C","EMML_ATP","G",1,21820,1,0,3.6,-999,5.1,"5","2016","Nearctic",175.53,2687.96,11.09,21.18,16132
"Lontra canadensis","C","EMML_ATP","G",2,8087.42,1,0,2.67,-999,-999,"4","2015","Nearctic",175.53,2687.96,11.09,21.18,16132
"Ondatra zibethicus","C","EMML_ATP","G",2,1065.75,1,0,6.55,-999,-999,"3","2016","Nearctic",175.53,2687.96,11.09,21.18,16132
"Neovison vison","C","EMML_ATP","G",4,1150,1,0,-999,-999,-999,"3","2016","Nearctic",175.53,2687.96,11.09,21.18,16132
"Lynx rufus","A","EMML_CBWC","G",1,8904.1,1,0,2.76,-999,-999,"4","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Tamias striatus","A","EMML_CBWC","G",4,111.91,0,1,-999,-999,-999,"3","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Mustela erminea","A","EMML_CBWC","G",4,119.38,1,0,6.74,-999,-999,"3","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Sciurus carolinensis","B","EMML_CBWC","Ar",3,506.5,0,1,2.98,-999,1,"4","2018","Nearctic",84,2828.27,9.92,20.48,3076
"Odocoileus virginianus","B","EMML_CBWC","G",2,55508.56,1,0,1.57,-999,2.25,"3","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Procyon lotor","B","EMML_CBWC","G",4,5524.97,1,0,3.06,-999,-999,"3","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Canis latrans","B","EMML_CBWC","G",3,13406.33,1,0,5.72,-999,-999,"4","2018","Nearctic",84,2828.27,9.92,20.48,3076
"Vulpes vulpes","B","EMML_CBWC","G",3,5476.17,1,0,4.59,-999,-999,"5","2021","Nearctic",84,2828.27,9.92,20.48,3076
"Sylvilagus floridanus","B","EMML_CBWC","G",1,1172.79,1,0,4.62,-999,-999,"3","2019","Nearctic",84,2828.27,9.92,20.48,3076
"Didelphis virginiana","B","EMML_CBWC","S",4,2195.48,1,0,8.62,-999,1,"3","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Urocyon cinereoargenteus","C","EMML_CBWC","G",5,3833.72,1,0,3.71,-999,-999,"4","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Ursus americanus","C","EMML_CBWC","G",4,99949.36,1,0,2.39,-999,-999,"3","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Martes pennanti","C","EMML_CBWC","S",2,4000,1,1,3.02,-999,-999,"4","2018","Nearctic",84,2828.27,9.92,20.48,3076
"Lepus americanus","C","EMML_CBWC","G",1,1710.02,1,0,3.54,-999,-999,"3","2019","Nearctic",84,2828.27,9.92,20.48,3076
"Marmota monax","C","EMML_CBWC","G",3,3801.72,0,1,4.1,-999,1,"3","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Mephitis mephitis","C","EMML_CBWC","G",5,2085.02,1,0,5.7,-999,-999,"3","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Castor canadensis","C","EMML_CBWC","G",1,21820,1,0,3.6,-999,5.1,"5","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Lontra canadensis","C","EMML_CBWC","G",2,8087.42,1,0,2.67,-999,-999,"4","2015","Nearctic",84,2828.27,9.92,20.48,3076
"Ondatra zibethicus","C","EMML_CBWC","G",2,1065.75,1,0,6.55,-999,-999,"3","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Neovison vison","C","EMML_CBWC","G",4,1150,1,0,-999,-999,-999,"3","2016","Nearctic",84,2828.27,9.92,20.48,3076
"Spilogale gracilis","A","EMML_CHIR","G",3,466.5,1,0,-999,-999,-999,"2","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Odocoileus virginianus","B","EMML_CHIR","G",2,55508.56,1,0,1.57,-999,2.25,"3","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Mephitis mephitis","B","EMML_CHIR","G",5,2085.02,1,0,5.7,-999,-999,"3","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Lynx rufus","B","EMML_CHIR","G",1,8904.1,1,0,2.76,-999,-999,"4","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Urocyon cinereoargenteus","B","EMML_CHIR","G",5,3833.72,1,0,3.71,-999,-999,"4","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Bassariscus astutus","B","EMML_CHIR","G",3,1129.51,1,0,3,-999,-999,"3","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Pecari tajacu","B","EMML_CHIR","G",4,21266.69,1,0,1.56,11.65,20,"3","2011","Nearctic",194.5,1809.07,13.25,15.74,3692
"Nasua narica","B","EMML_CHIR","S",3,4030.05,0,1,4,-999,-999,"3","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Puma concolor","B","EMML_CHIR","G",1,51600.04,1,1,2.76,-999,1,"4","2015","Nearctic",194.5,1809.07,13.25,15.74,3692
"Ursus americanus","B","EMML_CHIR","G",4,99949.36,1,0,2.39,-999,-999,"3","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Conepatus leuconotus","B","EMML_CHIR","G",3,3500.02,1,0,3.6,-999,-999,"2","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Mephitis macroura","B","EMML_CHIR","G",5,801.25,1,1,4.68,-999,-999,"3","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Canis latrans","B","EMML_CHIR","G",3,13406.33,1,0,5.72,-999,-999,"4","2018","Nearctic",194.5,1809.07,13.25,15.74,3692
"Sylvilagus floridanus","B","EMML_CHIR","G",1,1172.79,1,0,4.62,-999,-999,"3","2019","Nearctic",194.5,1809.07,13.25,15.74,3692
"Odocoileus hemionus","C","EMML_CHIR","G",2,54212.57,1,0,1.61,-999,-999,"3","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Taxidea taxus","C","EMML_CHIR","G",3,7107.55,1,0,2.76,-999,-999,"3","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Lepus californicus","C","EMML_CHIR","G",1,2422.48,1,0,2.68,-999,-999,"3","2019","Nearctic",194.5,1809.07,13.25,15.74,3692
"Vulpes macrotis","C","EMML_CHIR","G",3,4499.97,1,0,4.5,-999,-999,"4","2014","Nearctic",194.5,1809.07,13.25,15.74,3692
"Ovis canadensis","C","EMML_CHIR","G",1,74644.88,1,1,1.16,5.5,5.5,"3","2020","Nearctic",194.5,1809.07,13.25,15.74,3692
"Sylvilagus audubonii","C","EMML_CHIR","G",1,889.63,1,0,3,-999,-999,"3","2019","Nearctic",194.5,1809.07,13.25,15.74,3692
"Procyon lotor","C","EMML_CHIR","G",4,5524.97,1,0,3.06,-999,-999,"3","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Antilocapra americana","C","EMML_CHIR","G",1,46082.92,1,1,1.93,1000,12,"3","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Cynomys ludovicianus","C","EMML_CHIR","G",1,1364,0,1,4.43,5,6.13,"4","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Erethizon dorsatum","C","EMML_CHIR","S",3,7085.33,1,0,1,-999,1,"3","2016","Nearctic",194.5,1809.07,13.25,15.74,3692
"Lontra canadensis","C","EMML_CHIR","G",2,8087.42,1,0,2.67,-999,-999,"4","2015","Nearctic",194.5,1809.07,13.25,15.74,3692
"Herpestes urva","A","EMML_DYTP","G",5,1863.2,1,1,3,-999,-999,"3","2015","Indo-Malay",184,3934.81,25.83,19.99,645
"Menetes berdmorei","A","EMML_DYTP","S",4,190,0,1,-999,-999,-999,"3","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Muntiacus muntjak","A","EMML_DYTP","G",2,15925.79,1,1,1,-999,-999,"3","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Callosciurus finlaysonii","A","EMML_DYTP","Ar",5,278,0,1,-999,-999,-999,"3","2017","Indo-Malay",184,3934.81,25.83,19.99,645
"Canis aureus","A","EMML_DYTP","G",6,10345.23,1,0,3.74,-999,-999,"1","2018","Indo-Malay",184,3934.81,25.83,19.99,645
"Tupaia belangeri","A","EMML_DYTP","G",2,200,0,1,-999,-999,-999,"3","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Elephas maximus","B","EMML_DYTP","G",1,2915040,1,1,1.41,-999,7.75,"8","2020","Indo-Malay",184,3934.81,25.83,19.99,645
"Atherurus macrourus","B","EMML_DYTP","G",2,2000,1,0,1.5,-999,-999,"4","2020","Indo-Malay",184,3934.81,25.83,19.99,645
"Bos javanicus","B","EMML_DYTP","G",1,625000,1,1,1.22,21,40,"8","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Paradoxurus hermaphroditus","B","EMML_DYTP","Ar",4,3156.66,1,0,3.29,-999,-999,"3","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Ursus thibetanus","B","EMML_DYTP","G",5,77500,0,1,1.5,-999,-999,"6","2020","Indo-Malay",184,3934.81,25.83,19.99,645
"Viverra zibetha","B","EMML_DYTP","G",6,9500,1,1,2.89,-999,-999,"4","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Prionailurus bengalensis","B","EMML_DYTP","S",3,3300,1,1,2.5,-999,-999,"4","2015","Indo-Malay",184,3934.81,25.83,19.99,645
"Tragulus kanchil","B","EMML_DYTP","G",2,3706.24,1,0,-999,-999,-999,"2","2015","Indo-Malay",184,3934.81,25.83,19.99,645
"Hystrix brachyura","B","EMML_DYTP","G",2,8450,1,0,1.41,1,1,"3","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Macaca leonina","B","EMML_DYTP","S",3,5786.96,0,1,-999,-999,-999,"3","2020","Indo-Malay",184,3934.81,25.83,19.99,645
"Rusa unicolor","B","EMML_DYTP","G",2,177522.9,1,0,1,-999,-999,"3","2015","Indo-Malay",184,3934.81,25.83,19.99,645
"Capricornis sumatraensis","B","EMML_DYTP","G",1,110942.22,0,1,1.22,-999,-999,"1","2020","Indo-Malay",184,3934.81,25.83,19.99,645
"Helarctos malayanus","B","EMML_DYTP","G",4,46500,1,0,1.1,-999,-999,"5","2017","Indo-Malay",184,3934.81,25.83,19.99,645
"Sus scrofa","B","EMML_DYTP","G",5,96118.09,1,0,4.52,-999,13,"3","2019","Indo-Malay",184,3934.81,25.83,19.99,645
"Neofelis nebulosa","B","EMML_DYTP","S",1,19675.75,0,1,2.25,1,1,"9","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Cuon alpinus","B","EMML_DYTP","G",2,14173.33,0,1,4.3,-999,-999,"8","2015","Indo-Malay",184,3934.81,25.83,19.99,645
"Melogale personata","B","EMML_DYTP","G",3,1702.5,1,0,2.5,-999,-999,"3","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Pardofelis marmorata","B","EMML_DYTP","S",1,2854.25,1,0,2,-999,-999,"9","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Herpestes javanicus","B","EMML_DYTP","G",5,750,1,1,2.21,-999,-999,"1","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Viverricula indica","B","EMML_DYTP","G",5,2908.43,1,1,3.74,1.5,1.5,"3","2015","Indo-Malay",184,3934.81,25.83,19.99,645
"Prionodon pardicolor","B","EMML_DYTP","S",3,512,1,0,2,-999,-999,"3","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Manis javanica","B","EMML_DYTP","Ar",1,5150,1,0,1,-999,-999,"4","2019","Indo-Malay",184,3934.81,25.83,19.99,645
"Martes flavigula","B","EMML_DYTP","Ar",5,1842.5,0,1,3.53,-999,-999,"5","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Arctictis binturong","C","EMML_DYTP","Ar",5,9875,1,0,2.5,-999,-999,"3","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Arctonyx collaris","C","EMML_DYTP","G",5,6356,1,0,3,-999,-999,"1","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Rhizomys pruinosus","C","EMML_DYTP","G",3,2450,1,0,3,-999,-999,"3","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Arctogalidia trivirgata","C","EMML_DYTP","Ar",4,2250,1,0,2.79,-999,-999,"3","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Paguma larvata","C","EMML_DYTP","G",3,4300,1,0,2.16,-999,-999,"3","2016","Indo-Malay",184,3934.81,25.83,19.99,645
"Lepus peguensis","C","EMML_DYTP","G",1,2267.5,1,0,-999,-999,-999,"3","2019","Indo-Malay",184,3934.81,25.83,19.99,645
"Nycticebus bengalensis","C","EMML_DYTP","Ar",4,1137.36,1,0,-999,-999,-999,"3","2020","Indo-Malay",184,3934.81,25.83,19.99,645
